target_symbol,uniprot_accession_number,clonality,clone_id,method,tissue_preservation,avr_pdf_filename,antibody_hubmap_id,host,rrid,catalog_number,lot_number,vendor_name,recombinant,organ,author_orcids,hgnc_id,isotype,concentration_value,dilution_factor,conjugate,cycle_number,fluorescent_reporter,manuscript_doi,protocol_doi,vendor_affiliation,organ_uberon_id,antigen_retrieval,omap_id,created_by_user_email,previous_version_id,next_version_id
PRKCA,P17252,monoclonal,H-7,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff4b5f3b3eb307f296db99c3aada48/PRKCA_OMAP12.pdf,HBM954.DFZJ.365,Mouse,AB_628142,sc-8393 AF680,K0520,Santa Cruz Biotechnology,No,retina,0000-0003-2088-8310,HGNC:9393,IgG1 Kappa,,100,AF680,1,,,"10.1073/pnas.2018488117,10.1038/s41596-021-00644-9",,UBERON:0000966,,OMAP-12,ellenmq@iu.edu,,
VSX2,P58304,monoclonal,E-12,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff91f1d56e5bd73fe5f47dea78596a/VSX2_OMAP12.pdf,HBM373.VQBC.547,Mouse,AB_10842442,sc-365519 AF546,12520,Santa Cruz Biotechnology,No,retina,0000-0003-2088-8310,HGNC:1975,IgG2a Kappa,,100,AF546,2,,,"10.1073/pnas.2018488117,10.1038/s41596-021-00644-9",,UBERON:0000966,,OMAP-12,ellenmq@iu.edu,,
OPN1SW,P03999,polyclonal,,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffdcd9ba00b2a1bbb8a4fa9ab3c6d6/OPN1SW_OMAP12.pdf,HBM833.TGVL.524,Rabbit,AB_177457,AB5407,3756539,Merck,No,retina,0000-0003-2088-8310,HGNC:1012,IgG,,100,Unconjugated,2,,,"10.1073/pnas.2018488117,10.1038/s41596-021-00644-9",,UBERON:0000966,,OMAP-12,ellenmq@iu.edu,,
ITGA1,P56199,monoclonal,TS2/7,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffcac8c476cd09594a2d1af59a07ff/ITGA1_OMAP12.pdf,HBM682.LQJZ.844,Mouse,AB_2129242,328310,B310657,BioLegend,No,retina,0000-0003-2088-8310,HGNC:6134,IgG1 Kappa,,100,AF647,5,,,"10.1073/pnas.2018488117,10.1038/s41596-021-00644-9",,UBERON:0000966,,OMAP-12,ellenmq@iu.edu,,
DDB2,Q92466,monoclonal,EPR9811,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffffa7a2a82e5bfcff985185fba029f8/DDB2-CellDIVEOMAP4.pdf,HBM434.CKFQ.853,Rabbit,AB_2889873,ab181136,GR3315250-1,Abcam,Yes,skin,0000-0001-7524-8260,HGNC:2718,IgG,6.2,,Cy5 secondary detection,1,,10.1101/2022.03.30.486438,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-4,ellenmq@iu.edu,,
CD68,P34810,monoclonal,KP1,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff0a1cf110b5ec9d79949b767e335b/CD68-CellDIVEOMAP4.pdf,HBM698.ZQCV.464,Mouse,AB_2924694,ab233172,397X1607A,Abcam,Yes,skin,0000-0001-7524-8260,HGNC:1693,IgG1,2.5,,Cy5,4,,10.1101/2022.03.30.486438,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-4,ellenmq@iu.edu,,
CD4,P01730,monoclonal,EPR6855,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff9455a183bb769dd2db41bed587d5/CD4-CellDIVEOMAP4.pdf,HBM362.LFHS.484,Rabbit,AB_2864377,ab181724,GR241749-2,Abcam,Yes,skin,0000-0001-7524-8260,HGNC:1678,IgG,5,,Cy3,5,,10.1101/2022.03.30.486438,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-4,ellenmq@iu.edu,,
ACTA2,P62736,monoclonal,1A4,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffffd57d80cd0fe32f472972ffcbbcb3/SMA-CellDIVEOMAP4.pdf,HBM456.CMFS.234,Mouse,AB_476856,C6198,127M4859V,MilliporeSigma,No,skin,0000-0001-7524-8260,HGNC:130,IgG2a,2.5,,Cy3,7,,10.1101/2022.03.30.486438,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-4,ellenmq@iu.edu,,
FOXP3,Q9BZS1,monoclonal,206D,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff57c4cd64fb2687c7d282db95a5a7/FOXP3-CellDIVEOMAP4.pdf,HBM237.HRVW.956,Mouse,AB_439754,320114,B241845,BioLegend,No,skin,0000-0001-7524-8260,HGNC:6106,IgG1,10,,AF647,7,,10.1101/2022.03.30.486438,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-4,ellenmq@iu.edu,,
ICAM1,P05362,monoclonal,HA58,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff26e1bcf5644724bb5f8e915105ed/CD54_OMAP11.pdf,HBM976.SHSC.929,Mouse,AB_2715942,353114,B242400,BioLegend,No,spleen,0000-0003-4379-8967,HGNC:5344,IgG1 kappa,,50,AF647,1,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
GYPA,P02724,monoclonal,EPR8200,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffff0dc7cbbede6080af162cfe00897f/GlycophorinA_OMAP11.pdf,HBM648.CPXX.744,Rabbit,AB_2892758,ab218372,GR3290087-1,Abcam,No,spleen,0000-0003-4379-8967,HGNC:4702,IgG,,300,AF555,1,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
CD163,Q86VB7,monoclonal,GHI/61,IBEX,1% PFA fixed frozen,https://assets.hubmapconsortium.org/ffffe4a30962b0fc53ca8a2296c0fe47/CD163_OMAP11.pdf,HBM825.BBSK.746,Mouse,AB_2892759,333602 (Unconjugated),B320393,BioLegend,No,spleen,0000-0003-4379-8967,HGNC:1631,IgG1 kappa,,100,AF532,2,,10.1038/s41596-021-00644-9,10.1073/pnas.2018488117,,UBERON:0002106,,OMAP-11,ellenmq@iu.edu,,
PTPRC,P08575,monoclonal,UCHL1,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffffec34d178762cad1bd117e230265f/PTPRC-CD45RO_OMAP9.pdf,HBM974.JKHD.388,Mouse,AB_2895053,4250023,B363663,Akoya Biosciences,No,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:9666,IgG2a,,200,Oligonucleotide,3,Atto550,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
GATA3,P23771,monoclonal,D13C9,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff714e5b5a408adffefa26255cf034/GATA3_OMAP9.pdf,HBM633.XPXS.255,Rabbit,AB_2927677,4250085,B354124,Akoya Biosciences,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:4172,IgG,,200,Oligonucleotide,5,Atto550,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
PLSCR1,O15162,monoclonal,3B4,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff0328f744752cd2a6332cc689bfbd/PLSCR1_OMAP9.pdf,HBM846.DGPZ.483,Mouse,AB_2610379,MA5-19636,XJ3729311,Thermo Fisher Scientific,No,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:9092,IgG2a kappa,,200,Oligonucleotide,6,AF647,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
FN1,P02751,monoclonal,F1,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffffddf1c8152e89b92e2cbfacbd4f24/FN1_OMAP9.pdf,HBM558.TNPS.469,Rabbit,AB_2895045,ab271831,GR3402814-3,Abcam,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:3778,IgG,,200,Oligonucleotide,10,AF488,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
CST3,P01034,monoclonal,EPR4413,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffffa0e386f77528fdfa82193b6ce809/CST3_OMAP9.pdf,HBM894.RKXW.663,Rabbit,AB_2895067,ab217569,GR42677-35,Abcam,Yes,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:2475,IgG,,200,Oligonucleotide,10,AF647,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
AQP2,P41181,polyclonal,,CODEX,Fresh Frozen,https://assets.hubmapconsortium.org/ffff7b444d9aece10fd2b11f82680645/AQP2_OMAP9.pdf,HBM979.QSSD.656,Rabbit,AB_11154667,PA5-22865,XJ3728952A,Thermo Fisher Scientific,No,kidney,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",HGNC:634,IgG,,200,Oligonucleotide,14,AF488,,10.17504/protocols.io.8epv5jdbnl1b/v1,,UBERON:0002113,,OMAP-9,ellenmq@iu.edu,,
UCHL1,P09936,monoclonal,13C4/I3C4,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff5c7114b27c80a13ebb498510417b/UCLH1-CellDIVE_OMAP-22.pdf,HBM476.WZSG.943,Mouse,AB_306343,ab8189,1011660-1,Abcam,No,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:12513,IgG2a,2.5,,Cy3 Secondary Detection,1,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
CD3E,P07766,monoclonal,F7.2.38,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffffaab8266d08fed64f08e10e0ea6a2/CD3E-CellDIVE_OMAP-22.pdf,HBM823.SJTB.585,Mouse,AB_2631163,M7254,84001,Dako,No,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:1674,IgG1,5,,Cy3,2,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
CD4,P01730,monoclonal,EPR6855,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff56b6bcd929454e04faddbc9a90ed/CD4-CellDIVE_OMAP-22.pdf,HBM634.WWTD.824,Rabbit,AB_3107080,ab280849,1024368?6,Abcam,Yes,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:1678,IgG,5,,AF555,3,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
KRT7,P08729,monoclonal,OV TL 12/30,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffffd787b9a898a47e7f63171b5b9ff5/KRT7-CellDIVE_OMAP-22.pdf,HBM844.XHVX.299,Mouse,AB_3106923,NB153061,3855?1P230608,Fisher Scientific,No,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:6445,IgG1,5,,AF488,4,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
TP53,P04637,monoclonal,DO-7,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff3c40350d30f84c5fcc86169db527/TP53-CellDIVE_OMAP-22.pdf,HBM428.QXQM.242,Mouse,AB_3106885,SC-47698 AF647,J1223,Santa Cruz,No,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:11998,IgG2b,10,,AF647,4,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
MLANA,Q16655,monoclonal,A103,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffffa1a33843cd1d6f9d3328c659462f/MLANA-CellDIVE_OMAP-22.pdf,HBM483.RBHZ.369,Mouse,AB_3106925,sc-20032 AF647,B2822,Santa Cruz,Yes,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:7124,IgG1,10,,AF647,5,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
COL4A1,P02462,monoclonal,IV-4H12,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffffb0cecd177f1fc2f2ad2a682e57b5/COL4A1-CellDIVE_OMAP-22.pdf,HBM622.ZGRM.425,Mouse,AB_2229703,MAB3326,NG193686,Millipore,No,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:2202,IgG1,5,,Cy3,5,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
ACTA2,P62736,monoclonal,1A4,Cell DIVE,FFPE,https://assets.hubmapconsortium.org/ffff9c01f72b42a51f34eb66b492567f/ACTA2-CellDIVE_OMAP-22.pdf,HBM879.MPNN.765,Mouse,AB_2799304,46469S,2,Cell Signaling,No,skin,"0009-0001-1078-1272, 0000-0001-7524-8260",HGNC:130,IgG2a,5,,AF488,7,,10.1038/s42003-023-04991-z,10.17504/protocols.io.bqjimuke,,UBERON:0002097,"6, 9",OMAP-22,LIZMC@pitt.edu,,
PECAM1,P16284,monoclonal,EP3095,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff24d781652360dde329e802e51ee5/CD31_OMAP-28.pdf,HBM643.BHTQ.828,Rabbit,AB_2915935,4450017,1000000094,Akoya Biosciences,Yes,heart,"0000-0002-4184-482X, 0000-0002-9104-5567",HGNC:8823,IgG,,200,Oligonucleotide,1,AF750,,10.17504/protocols.io.5jyl8pzodg2w/v2,,UBERON:0000948,,OMAP-28,LIZMC@pitt.edu,,
CD8A,P01732,monoclonal,C8/144B,CODEX,FFPE,https://assets.hubmapconsortium.org/ffffba4e904c77d3ba248774b23ad301/CD8_OMAP-28.pdf,HBM922.TJSJ.264,Mouse,AB_2915960,4250012,1000000081,Akoya Biosciences,No,heart,"0000-0002-4184-482X, 0000-0002-9104-5567",HGNC:1706,IgG1,,50,Oligonucleotide,6,Atto550,,10.17504/protocols.io.5jyl8pzodg2w/v2,,UBERON:0000948,,OMAP-28,LIZMC@pitt.edu,,
TTN,Q8WZ42,monoclonal,EPR24455-21,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff1689e4336b075c7fb04594c222e3/TTN_OMAP-28.pdf,HBM485.RRBD.943,Rabbit,AB_2915962,ab284862,1074091-2,Abcam,Yes,heart,"0000-0002-4184-482X, 0000-0002-9104-5567",HGNC:12403,IgG,,200,Oligonucleotide,8,Atto550,,10.17504/protocols.io.5jyl8pzodg2w/v2,,UBERON:0000948,,OMAP-28,LIZMC@pitt.edu,,
HCN1,O60741,monoclonal,N70/28,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff0aee21422e710479a36ea281820d/HCN1_OMAP-28.pdf,HBM332.XXXH.239,Mouse,AB_2904439,601052,B349038,BioLegend,Yes,heart,"0000-0002-4184-482X, 0000-0002-9104-5567",HGNC:4845,IgG1 kappa,,200,Oligonucleotide,12,AF647,,10.17504/protocols.io.5jyl8pzodg2w/v2,,UBERON:0000948,,OMAP-28,LIZMC@pitt.edu,,
ATP1A1,P05023,monoclonal,EP1845Y,CODEX,FFPE,https://assets.hubmapconsortium.org/ffffbbea16f5237bc9c40fb585b87633/ATP1A1_OMAP-28.pdf,HBM867.ZTPR.735,Rabbit,AB_2890241,ab167390,1071838-1,Abcam,Yes,heart,"0000-0002-4184-482X, 0000-0002-9104-5567",HGNC:799,IgG,,200,Oligonucleotide,16,Atto550,,10.17504/protocols.io.5jyl8pzodg2w/v2,,UBERON:0000948,,OMAP-28,LIZMC@pitt.edu,,
NOTCH3,Q9UM47,polyclonal,,CODEX,FFPE,https://assets.hubmapconsortium.org/fffff594939a3984861fbcd4941e1d76/NOTCH3_OMAP-28.pdf,HBM687.KWKS.478,Rabbit,AB_776841,ab23426,1059086-4,Abcam,No,heart,"0000-0002-4184-482X, 0000-0002-9104-5567",HGNC:7883,IgG,,200,Oligonucleotide,17,Atto550,,10.17504/protocols.io.5jyl8pzodg2w/v2,,UBERON:0000948,,OMAP-28,LIZMC@pitt.edu,,
AQP2,P41181,monoclonal,EPR21080,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffffa9efe217751eb4bd11d3881474db/AQP2-CODEX_OMAP-26.pdf,HBM764.NZSD.627,Rabbit,AB_2847928,ab230170,,Abcam,Yes,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:634,IgG,,200,Oligonucleotide,3,AF750,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-26,LIZMC@pitt.edu,,
PECAM1,P16284,monoclonal,WM59,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffff24673dcf3d0b327964fdc278bd81/PECAM1-CODEX_OMAP-26.pdf,HBM927.WPKH.783,Mouse,AB_2895051,4250009,,Akoya Biosciences,No,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:8823,IgG1,,400,Oligonucleotide,5,Atto550,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-26,LIZMC@pitt.edu,,
AQP1,P29972,monoclonal,EPR11588(B),CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffff27f785695aa372bc0012e48810dd/AQP1-CODEX_OMAP-26.pdf,HBM979.XVFW.566,Rabbit,AB_2876888,ab178352,,Abcam,Yes,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:633,IgG,,200,Oligonucleotide,11,Atto550,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-26,LIZMC@pitt.edu,,
LRP2,P98164,monoclonal,EPR26093-84,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffff1222e59dc77fcd72a9de2842d164/LRP2-CODEX_OMAP-26.pdf,HBM625.WFHH.597,Rabbit,AB_3678444,ab309087,,Abcam,Yes,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:6694,IgG,,200,Oligonucleotide,13,Cy5,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-26,LIZMC@pitt.edu,,
AQP2,P41181,monoclonal,EPR21080,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffffcb6726d1ca0265fcd4c2424bbb37/AQP2-CODEX_OMAP-27.pdf,HBM379.HFPF.656,Rabbit,AB_2847928,ab230170,,Abcam,Yes,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:634,IgG,,200,Oligonucleotide,3,AF750,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-27,LIZMC@pitt.edu,,
MS4A1,P11836,monoclonal,SP32,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffffd85cb6d64a3e6042d2b7a8bc4b90/MS4A1-CODEX_OMAP-27.pdf,HBM625.DLLJ.392,Rabbit,AB_3678438,ab236434,,Abcam,Yes,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:7315,IgG,,200,Oligonucleotide,6,AF750,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-27,LIZMC@pitt.edu,,
SYNPO,Q8N3V7,monoclonal,EPR23922-79,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffffa1fda67051db1a81c58922ac39f3/SYNPO-CODEX_OMAP-27.pdf,HBM257.KFSP.543,Rabbit,AB_3086600,ab282117,,Abcam,Yes,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:30672,IgG,,200,Oligonucleotide,5,Cy5,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-27,LIZMC@pitt.edu,,
MKI67,P46013,monoclonal,B56,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffff0ca3b1e40edbe1ef56a17ba57d5c/MKI67-CODEX_OMAP-27.pdf,HBM554.ZCVN.583,Mouse,AB_3678441,ab279657,,Abcam,Yes,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:7107,IgG1,,200,Oligonucleotide,11,AF750,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-27,LIZMC@pitt.edu,,
NES,P48681,monoclonal,EPR1301(2),CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffff075685cd9bee2369d80d1e38042e/NES-CODEX_OMAP-27.pdf,HBM369.PCML.922,Rabbit,AB_3678442,ab242400,,Abcam,Yes,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:7756,IgG,,200,Oligonucleotide,6,Cy5,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-27,LIZMC@pitt.edu,,
VIM,P08670,monoclonal,EPR3776,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffff44294532ba7126a58f7996fa0f05/VIM-CODEX_OMAP-27.pdf,HBM725.WNPL.334,Rabbit,AB_2814713,ab193555,,Abcam,Yes,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:12692,IgG,,200,Oligonucleotide,8,Cy5,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-27,LIZMC@pitt.edu,,
KRT7,P08729,monoclonal,EPR17078,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffffa344b28a12980a2170e4ff48f8b7/KRT7-CODEX_OMAP-27.pdf,HBM722.DSWW.744,Rabbit,AB_3678443,ab220804,,Abcam,Yes,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:6445,IgG,,400,Oligonucleotide,12,Atto550,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-27,LIZMC@pitt.edu,,
THY1,P04216,monoclonal,50000000000,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffff5d357f2f2828b3d34292e6f08b39/THY1-CODEX_OMAP-27.pdf,HBM328.BMRC.534,Mouse,AB_3678567,4450021,,Akoya Biosciences,No,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:11801,IgG1,,200,Oligonucleotide,16,AF750,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-27,LIZMC@pitt.edu,,
CLDN1,O95832,monoclonal,RM1186,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffff3c1c8dda92ba308d40c3a8c57a44/CLDN1-CODEX_OMAP-27.pdf,HBM429.ZMFJ.652,Rabbit,AB_3678531,ab317710,,Abcam,Yes,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:2032,IgG,,200,Oligonucleotide,2,AF750,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-27,LIZMC@pitt.edu,,
EMILIN1,Q9Y6C2,polyclonal,,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffffa5fe76dc95e1ab4c341d3606c533/EMILIN1-CODEX_OMAP-27.pdf,HBM762.SRSH.262,Rabbit,AB_3678533,ab243324,,Abcam,No,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:19880,IgG,,200,Oligonucleotide,14,Cy5,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-27,LIZMC@pitt.edu,,
SLC12A3,P55017,polyclonal,,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffff39fc9b13ff5a88d2e717b71e6644/SLC12A3-CODEX_OMAP-27.pdf,HBM285.NMMR.644,Rabbit,AB_3678538,ab233401,,Abcam,No,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:10912,IgG,,200,Oligonucleotide,2,Cy5,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-27,LIZMC@pitt.edu,,
CD248,Q9HCU0,monoclonal,EPR17081,CODEX,Fresh frozen,https://assets.hubmapconsortium.org/ffff8414294e56229fe6780e2c328cb7/CD248-CODEX_OMAP-27.pdf,HBM559.FMLD.243,Rabbit,AB_3678539,ab251416,,Abcam,Yes,kidney,"0000-0002-6124-7678, 0000-0002-1602-2082",HGNC:18219,IgG,,100,Oligonucleotide,15,Cy5,10.1016/j.kint.2021.08.033,10.17504/protocols.io.buc5nsy6,,UBERON:0002113,,OMAP-27,LIZMC@pitt.edu,,
SFTPB,P07988,polyclonal,,CODEX,FFPE,https://assets.hubmapconsortium.org/ffff8ced2e447900552d5b24b0d7b75f/SFTPB_OMAP-25.pdf,HBM992.KQZT.296,Rabbit,AB_2609628,PA5-42000,YL4151771/YL4159261,Invitrogen,No,lung,"0000-0001-7636-4992, 0000-0002-9185-3994",HGNC:10801,IgG,,50,oligonucleotide,11,CY5/AF647,,10.17504/protocols.io.6qpvr38dpvmk/v3,,UBERON:0002048,9,OMAP-25,LIZMC@pitt.edu,,
NOS1,P29475,polyclonal,,CyCIF,FFPE,https://assets.hubmapconsortium.org/ffffb7ddfbb7759883438f574f6d5958/NOS1-CyCIF_OMAP-24.pdf,HBM868.NWKQ.785,Goat,AB_300614,ab1376,GR3195323-4,Abcam,No,pancreas,0009-0008-9946-8581,HGNC:7872,IgG,,250,Unconjugated,1,,,10.17504/protocols.io.261ger4djl47/v1,,UBERON:0001264,9,OMAP-24,LIZMC@pitt.edu,,
NEFH,P12036,polyclonal,,CyCIF,FFPE,https://assets.hubmapconsortium.org/ffff50770dd1edc325eee2affca3b62e/NEFH-CyCIF_OMAP-24.pdf,HBM792.FWZP.863,Rabbit,AB_477272,N4142,175111,MilliporeSigma,No,pancreas,0009-0008-9946-8581,HGNC:7737,IgG,,500,Unconjugated,2,,,10.17504/protocols.io.261ger4djl47/v1,,UBERON:0001264,9,OMAP-24,LIZMC@pitt.edu,,
SNAP25,P60880,polyclonal,,CyCIF,FFPE,https://assets.hubmapconsortium.org/ffff367b921c8b7a6e2a5eb645211cef/SNAP25-CyCIF_OMAP-24.pdf,HBM756.KRGD.469,Rabbit,AB_2243952,HPA001830,C106460,Atlas Antibodies,No,pancreas,0009-0008-9946-8581,HGNC:11132,IgG,,250,Unconjugated,2,,,10.17504/protocols.io.261ger4djl47/v1,,UBERON:0001264,9,OMAP-24,LIZMC@pitt.edu,,
INS,P01308,monoclonal,EPR17359,CyCIF,FFPE,https://assets.hubmapconsortium.org/ffff9aba5a68e3e8fd47a45a219e2b9a/INS-CyCIF_OMAP-24.pdf,HBM999.VZLX.489,Rabbit,AB_2716761,ab181547,6R222254-15,Abcam,Yes,pancreas,0009-0008-9946-8581,HGNC:6081,IgG,,4000,Unconjugated,3,,,10.17504/protocols.io.261ger4djl47/v1,,UBERON:0001264,9,OMAP-24,LIZMC@pitt.edu,,
